team,stage,runs,probability,lower_95,upper_95,margin_95
Uruguay,Quarter-finals,10000,0.0598,0.055153,0.064447,0.004647
Uruguay,Semi-finals,10000,0.0546,0.050147,0.059053,0.004453
Uruguay,Final,10000,0.0028,0.001764,0.003836,0.001036
Uruguay,Champion,10000,0.0012,0.000521,0.001879,0.000679
France,Group Stage,10000,1.0,1.0,1.0,0.0
France,Round of 32,10000,0.982,0.979394,0.984606,0.002606
France,Round of 16,10000,0.6576,0.6483,0.6669,0.0093
France,Quarter-finals,10000,0.1152,0.108942,0.121458,0.006258
France,Semi-finals,10000,0.1048,0.098797,0.110803,0.006003
France,Final,10000,0.0997,0.093828,0.105572,0.005872
France,Champion,10000,0.088,0.082447,0.093553,0.005553
Senegal,Group Stage,10000,1.0,1.0,1.0,0.0
Senegal,Round of 32,10000,0.6934,0.684363,0.702437,0.009037
Senegal,Round of 16,10000,0.0853,0.079825,0.090775,0.005475
Senegal,Quarter-finals,10000,0.0186,0.015952,0.021248,0.002648
Senegal,Semi-finals,10000,0.0033,0.002176,0.004424,0.001124
Senegal,Final,10000,0.0021,0.001203,0.002997,0.000897
Senegal,Champion,10000,0.0012,0.000521,0.001879,0.000679
Iraq,Group Stage,10000,1.0,1.0,1.0,0.0
Iraq,Round of 32,10000,0.162,0.154778,0.169222,0.007222
Iraq,Round of 16,10000,0.01,0.00805,0.01195,0.00195
Iraq,Quarter-finals,10000,0.0006,0.00012,0.00108,0.00048
Iraq,Semi-finals,10000,0.0001,0.0,0.000296,0.000196
Iraq,Final,10000,0.0001,0.0,0.000296,0.000196
Iraq,Champion,10000,0.0001,0.0,0.000296,0.000196
Norway,Group Stage,10000,1.0,1.0,1.0,0.0
Norway,Round of 32,10000,0.8713,0.864737,0.877863,0.006563
Norway,Round of 16,10000,0.3769,0.367402,0.386398,0.009498
Norway,Quarter-finals,10000,0.0299,0.026562,0.033238,0.003338
Norway,Semi-finals,10000,0.0241,0.021094,0.027106,0.003006
Norway,Final,10000,0.0203,0.017536,0.023064,0.002764
Norway,Champion,10000,0.0167,0.014188,0.019212,0.002512
Argentina,Group Stage,10000,1.0,1.0,1.0,0.0
Argentina,Round of 32,10000,0.9865,0.984238,0.988762,0.002262
Argentina,Round of 16,10000,0.7386,0.729988,0.747212,0.008612
Argentina,Quarter-finals,10000,0.7072,0.698281,0.716119,0.008919
Argentina,Semi-finals,10000,0.6886,0.679524,0.697676,0.009076
Argentina,Final,10000,0.0943,0.088572,0.100028,0.005728
Argentina,Champion,10000,0.0128,0.010597,0.015003,0.002203
Algeria,Group Stage,10000,1.0,1.0,1.0,0.0
Algeria,Round of 32,10000,0.5348,0.525024,0.544576,0.009776
Algeria,Round of 16,10000,0.0491,0.044865,0.053335,0.004235
Algeria,Quarter-finals,10000,0.0332,0.029688,0.036712,0.003512
Algeria,Semi-finals,10000,0.0262,0.023069,0.029331,0.003131
Algeria,Final,10000,0.001,0.000381,0.001619,0.000619
Algeria,Champion,10000,0.0001,0.0,0.000296,0.000196
Austria,Group Stage,10000,1.0,1.0,1.0,0.0
Austria,Round of 32,10000,0.5295,0.519717,0.539283,0.009783
Austria,Round of 16,10000,0.0526,0.048225,0.056975,0.004375
Austria,Quarter-finals,10000,0.0332,0.029688,0.036712,0.003512
Austria,Semi-finals,10000,0.0267,0.02354,0.02986,0.00316
Austria,Final,10000,0.0014,0.000667,0.002133,0.000733
Austria,Champion,10000,0.0001,0.0,0.000296,0.000196
Jordan,Group Stage,10000,1.0,1.0,1.0,0.0
Jordan,Round of 32,10000,0.6272,0.617722,0.636678,0.009478
Jordan,Round of 16,10000,0.1322,0.125561,0.138839,0.006639
Jordan,Quarter-finals,10000,0.1029,0.096945,0.108855,0.005955
Jordan,Semi-finals,10000,0.0821,0.076719,0.087481,0.005381
Jordan,Final,10000,0.0009,0.000312,0.001488,0.000588
Jordan,Champion,10000,0.0,0.0,0.0,0.0
Portugal,Group Stage,10000,1.0,1.0,1.0,0.0
Portugal,Round of 32,10000,0.9893,0.987283,0.991317,0.002017
Portugal,Round of 16,10000,0.9156,0.910151,0.921049,0.005449
Portugal,Quarter-finals,10000,0.5518,0.542053,0.561547,0.009747
Portugal,Semi-finals,10000,0.4765,0.466711,0.486289,0.009789
Portugal,Final,10000,0.0539,0.049474,0.058326,0.004426
Portugal,Champion,10000,0.0511,0.046784,0.055416,0.004316
Congo DR,Group Stage,10000,1.0,1.0,1.0,0.0
Congo DR,Round of 32,10000,0.3531,0.343733,0.362467,0.009367
Congo DR,Round of 16,10000,0.0618,0.05708,0.06652,0.00472
Congo DR,Quarter-finals,10000,0.0318,0.028361,0.035239,0.003439
Congo DR,Semi-finals,10000,0.0255,0.02241,0.02859,0.00309
Congo DR,Final,10000,0.0003,0.0,0.000639,0.000339
Congo DR,Champion,10000,0.0002,0.0,0.000477,0.000277
Uzbekistan,Group Stage,10000,1.0,1.0,1.0,0.0
Uzbekistan,Round of 32,10000,0.2232,0.215039,0.231361,0.008161
Uzbekistan,Round of 16,10000,0.0898,0.084196,0.095404,0.005604
Uzbekistan,Quarter-finals,10000,0.055,0.050532,0.059468,0.004468
Uzbekistan,Semi-finals,10000,0.0445,0.040458,0.048542,0.004042
Uzbekistan,Final,10000,0.0013,0.000594,0.002006,0.000706
Uzbekistan,Champion,10000,0.001,0.000381,0.001619,0.000619
Colombia,Group Stage,10000,1.0,1.0,1.0,0.0
Colombia,Round of 32,10000,0.9658,0.962238,0.969362,0.003562
Colombia,Round of 16,10000,0.8422,0.835055,0.849345,0.007145
Colombia,Quarter-finals,10000,0.2896,0.28071,0.29849,0.00889
Colombia,Semi-finals,10000,0.2279,0.219678,0.236122,0.008222
Colombia,Final,10000,0.0156,0.013171,0.018029,0.002429
Colombia,Champion,10000,0.0136,0.01133,0.01587,0.00227
England,Group Stage,10000,1.0,1.0,1.0,0.0
England,Round of 32,10000,0.9847,0.982294,0.987106,0.002406
England,Round of 16,10000,0.7528,0.744345,0.761255,0.008455
England,Quarter-finals,10000,0.1738,0.166373,0.181227,0.007427
